ticket_id,channel,plan,region,ticket_text,priority,zs_guess,zs_confidence,category
CB-6712,phone,Free,APAC,Hey What is the recommended way to onboard fifty new users at once? It worked fine last week. This is urgent. Please escalate if needed.,urgent,how_to,0.9578,how_to
CB-6701,email,Team,LATAM,How do I create a template other teams can copy?,urgent,how_to,0.9509,how_to
CB-6349,in-app,Enterprise,LATAM,Second time asking about this. The error message is a raw stack trace.,high,bug_ui,0.5356,bug_ui
CB-7399,email,Enterprise,LATAM,"Hi, The save button takes so long people click it twice. Our admin has already tried the usual steps.",normal,performance,0.9651,performance
CB-6111,in-app,Enterprise,LATAM,The credit from last month's outage was never applied. Ticket reference from last time was in the thread.,high,billing_plan,0.8325,billing_plan
CB-7362,chat,Business,LATAM,"hello, the loading spinner runs indefinitely with no error",high,performance,0.9067,performance
CB-6707,email,Team,APAC,"Morning, How do I find views that nobody has opened in six months? Not blocking but annoying.",urgent,performance,0.6986,how_to
CB-6456,email,Team,APAC,raising this again: the sync ran twice last night and doubled everything,high,bug_ui,0.4488,data_sync
CB-6102,in-app,Free,EMEA,"Hi team, We were charged twice this month for the same seats. Reproduced on two machines.",normal,billing_plan,0.984,billing_plan
CB-6373,chat,Enterprise,EMEA,"Morning, Nested records are flattened in a way that loses information. Please treat as high priority. Happy to jump on a call if easier.",urgent,bug_ui,0.957,data_sync
CB-6750,chat,Business,APAC,How do I compare this quarter to the same quarter last year? Ticket reference from last time was in the thread.,urgent,bug_ui,0.2821,how_to
CB-6255,chat,Enterprise,APAC,following up: the icon for archive and the icon for delete are identical,normal,bug_ui,0.509,bug_ui
CB-7106,email,Team,EMEA,Not sure if this is the right place but I get a 403 immediately after authenticating successfully. This is blocking our weekly reporting. Thanks in advance.,urgent,login_access,0.5817,login_access
CB-6185,email,Enterprise,North America,hey the column widths reset every time i open the view,normal,bug_ui,0.9422,bug_ui
CB-6715,in-app,Free,LATAM,Following up: How do I compare this quarter to the same quarter last year? Fairly low priority.,normal,bug_ui,0.6407,how_to
CB-7154,in-app,Team,EMEA,Following up: We need to force a password rotation for every user this quarter. This is urgent.,normal,login_access,0.963,login_access
CB-6274,phone,Business,North America,Quick one: The truncated numbers drop the thousands separator. Please treat as high priority.,normal,bug_ui,0.9131,bug_ui
CB-6344,email,Enterprise,North America,quick one: the save confirmation appears even when the save failed,normal,bug_ui,0.5088,bug_ui
CB-6214,chat,Free,APAC,The breadcrumb shows a folder that no longer exists. This started yesterday. Please escalate if needed.,urgent,login_access,0.2329,bug_ui
CB-6257,phone,Free,LATAM,second time asking about this the checkbox in the header selects only the visible rows without saying so,normal,bug_ui,0.6665,bug_ui
CB-7080,email,Team,EMEA,"Hi team, Someone who left the company still has an active account. Only happens for our EMEA users. Please escalate if needed.",normal,login_access,0.9337,login_access
CB-7316,phone,Enterprise,North America,Not sure if this is the right place but The first load of the day is always far slower than the rest. We need this resolved before month end.,high,performance,0.8306,performance
CB-6038,phone,Business,North America,Following up: We are being billed for a sandbox account we never use. Fairly low priority. We need this resolved before month end.,normal,billing_plan,0.9817,billing_plan
CB-7143,in-app,Business,LATAM,Raising this again: Logging in on a second device signs me out of the first. We need this resolved before month end.,normal,login_access,0.9032,login_access
CB-6353,email,Free,LATAM,We get stale data for one region only. Nothing changed on our side. No rush on this one.,normal,data_sync,0.8339,data_sync
CB-6120,chat,Enterprise,North America,"Hello, We want to switch from monthly to annual billing mid-term. This started yesterday. No rush on this one.",high,billing_plan,0.9207,billing_plan
CB-7386,chat,Business,LATAM,The page freezes completely while a filter applies.,normal,performance,0.8915,performance
CB-6372,email,Enterprise,LATAM,Sorry to bother you but Numbers are rounded to whole units and we need two decimals. This started yesterday. Please treat as high priority.,high,bug_ui,0.9351,data_sync
CB-7317,email,Free,North America,Not sure if this is the right place but Our overnight batch now overruns into working hours. Thanks!,urgent,performance,0.4188,performance
CB-7314,email,Free,North America,"Hi, Large reports fail with a gateway timeout. Thanks!",low,performance,0.8745,performance
