drugName,condition,review,rating
Vicodin,Pain,"I've just recently had 19 teeth pulled all at once and absolutely couldn't sleep at night. I was given 750 mg of Vicodin (Hydrocodone) and now I can sleep. It takes the pain away but only lasts for 3 hours at the most. I sometimes get a headache from it and have suffered from constipation. All in all, the relief you feel from severe pain is well worth it. Do not drive while taking this medication. It makes some people sleepy and slows down your reaction time.",7
Ranitidine,GERD,"Been using this now, doctor recommended last 3 months. I like the 150mg cooling mint Zantac. I have exhausted all other options, I'm eating smaller healthier meals every 2-3 hours and added even more exercise to my exercise plan but still have the GERD. I take this usually right after my dinner and right before bed if needed. It works wonders. During the day, I take ONE 20mg famotidine (Pepcid AC) usually in between my breakfast and lunch at work and that gets me through until after dinner.",10
Sumavel DosePro,Migraine,"I only used this one time, it did not work for me and made me feel worse. I hate that I have 4 unused ones that are going to go to waste.",1
Bactrim DS,Urinary Tract Infection,"Had a 7 day prescription of Bactrim DS. The first two days I had a headache, then the 3rd day I started feeling nausea which turned into nausea/dizziness/and constant fatigue. I've been off the medicine for 36 hours and still feel extremely exhausted, and still dizzy and a little queasy at times.",6
Opana,Pain,"I was currently taking Exalgo 12 mg 1 daily and 2 mg Dilaudid 2 daily. It started not to work so my doctor put me on Opana 40 mg 2 daily and kept my Dilaudid. So far taking Opana is great, it last long enough to take my second dose and I couldnt be happier.",9
Neurontin,ibromyalgia,I've only been on it for about 1 month. They have increased my dosage and I have noticed a change for the better.,7
Lo Loestrin Fe,Birth Control,I have been on this pill for about a month now. I have one more pill to take before I start my second month. I have increased breast tenderness and have LOST weight. I do however have a bigger appetite and my sex drive has increased a whole since coming off the Mirena. I did not have a period but not sure if I ever will since I haven't had a period since Dec of 2008. So far I like the pill but reading reviews I'm seeing that most REAL side effects don't come until after the second month.,7
Loestrin 24 Fe,Birth Control,"I have been on the pill since December 29th. It's now March 6th. I'm only 17 years old and i got on the pill for acne and very irregular periods. I'm sexually active also, yet i did not tell my doctor or mother. I don't think that ths pill has really set into my body yet. I still have terrible acne and my periods haven't been light and regular every month. I don't know what it is. I hope this pill will work eventually. Any advice? Just wait and see? Answers!",5
Maxalt-MLT,Migraine,"I live in the UK so I get Maxalt free on NHS. I suffer from migraines a lot, and before I started taking Maxalt I would get minimum of 4 migraines a month sometimes more. These would last a whole 7 days with the first 24 hrs being hell! Its hard to explain to non-sufferers how painful these are. All of you will know what I am on about. Couldn't believe how amazing Maxalt was, didn't even reach the painful stage but it was totally gone. Works every time straight away for me. I take it along with codeine also prescribed. Tiny side effect, cramps in tummy but goes away within 30 mins. Worth it though!",10
Chlorpheniramine / hydrocodone,Cough,"Had a cough so bad it was hurting my back and gave me terrible headaches. Was first prescribed another product which did little. Have been taking this new prescription for a couple of days now (only need 1 tsp every 12 hrs)...amazing. Finally feeling like I'm getting better. Cough is much less, not nearly as tired as I was (was sleeping 16-20 hr days) been awake most of today. Thank you so much!",10
Avonex,Multiple Sclerosis,I took Avonez for 3 1/2 years. I experienced the flu-like reaction about 70% of the time. I fell frequently and was extremely depressed. I did the injections in late afternoon (Friday) and was down for 24 -48 hours. My recent MRI showed more MS activity. I am now trying a different medication.,3
Atomoxetine,ADHD,"My 8 year old daughter was prescribed this medication yesterday by our PCP. For the past 6 months she was on Adderrall 10mg and I decreased her to 5mg two months ago. She weighs.64 lbs and 10 mgs of adderrall had her like a zombie, the 5 most recently caused her to become anxious, overly sensitive, and literally trichllomania - literally developing the habit of pulling her out. I stopped the adderall this week and her doctor suggested Strattera. I got an email from my daughters teacher after sending her to school on the 1st day of her new meds. My daughter was experiencing super fatigue, headache, and nausea. She was definitely calm, but she could not eat dinner and my baby was so hot to the touch. I will NOT give her any more meds.",1
Chlorpheniramine / hydrocodone,Cough,"A doctor once described this medicine to me as the ""cough syrup of champions."" He wasn't joking. My cough is gone within 10 minutes of drinking this golden liquid miracle. The only reason I didn't give it a full 10 is because of the risk of addiction. It feels amazing- so amazing that you might be tempted to take a little more. Just be careful and take it EXACTLY as prescribed.",9
Cefdinir,Sinusitis,"Well after my first pill I already felt better sinus-wise, but I had an allergic reaction and broke out in a red rash all over my face that spread to more of my body. Be careful if you are allergic to penicillin. You may also be allergic to this medication",5
Topamax,Migraine Prevention,"Started 100mg at bedtime (in case of drowsiness) because I was waking up with 3 migraines/week. Later we added 25mg in the morning to prevent afternoon migraines. My headaches have gradually improved, not just in frequency but also in intensity. Only side effects have been weight loss (about 10-15 lb, and it seems to have levelled out there, which is fine; I'm a relatively small person) and paresthesia/tingles in my hands & face. Tingling is more frequent in cold weather, but it's not bad enough to make me quit, especially not with the benefits I'm experiencing. There's been a bit of research into its use for mood disorders, which I have. I'm on other meds for that, but I wonder if the topiramate is having any extra little benefit there.",8
Avelox,Sinusitis,"Very powerful med. Doc prescribed for my sinus infection. Major dizziness within half hour of taking the meds. It stays for about 5 hours. Congestion does clear up really fast. However I took it at night for the first dose and could not sleep the whole night. The 2nd day till today (5th), I took them after lunch and rested. The dizziness is overpowering. I literally can't function but I can sleep at night 2nd day onwards tho it takes slightly longer than usual to doze off. Happy today is my last day and I will probably never want to take this again if I can help it.",6
Vestura,Birth Control,"I have a history of mental illness, but have not been on medication for about a year and had no problems since then. After starting this medication, I started to have symptoms of depression and anxiety, irritability and mood swings. Hopefully I will be able to find a new form of birth control.",1
Luvox,Anxiety and Stress,"An excellent medicine for me for controlling thoughts and anxiety. I use 50mg at 8pm. I can't describe what a difference it has made to my life. I'm happy to take it for the rest of my life. I tried going without it for about a year because I was feeling good, but I will never do that again because of how horrible it was without it. When I've gone on Luvox, I feel the effect almost overnight. It is really important that you take it at the same time every day and that you follow a good sleeping schedule and not go to bed very late (i.e. after 11pm) for best results. There is only one downside for me and that is more difficult to reach orgasm and libido is reduced. If it was not for this I would give it a 10.",9
Implanon,Birth Control,I have no sex drive and have been bleeding for about 3 weeks!! I'm going crazy!! I've only had it for about a month and a half.,5
Labetalol,High Blood Pressure,"I take labetalol 200mg 3 x per day for the past 6 years. Yes, my blood pressure is down, but I am so tired some days I just lay around all day. I also take diltiazem 180mg and Cozaar 100mg. I am trying to get off the labetalol and go on Bystolic. This medicine (labetalol) saved my life in the emergency room with dangerously high blood pressure. But now I am so sick of it and have gained 20 lbs and cannot exercise. I really want to try the Bystolic.",7
Lansoprazole,GERD,"I've been taking Prevacid for over 10 years, 1 in the morning, that's it. I've had acid reflux since I was 13 years old, used to keep bottles of tums in my car, my night stand, my pocket. I suffered for years. Not anymore. I'm 53, I eat drink whatever I want, hardly ever get indigestion anymore. Sure works for me.",9
Safyral,Birth Control,"I have been on this for a month and have had a horrible experience with my mood change, I have always been a happy person, and now for the last week I am so depressed and I am constantly feeling a nervous feeling in my gut, like anxiety. I had a baby 2 months ago, and even through my pregnancy never felt any mood swings or depression. I talked to my doctor and have decided to stop this birth control. Hope it'll fix this sad feeling.",4
Percocet,Pain,"I have been on this dosage since 1/09 due to 2nd and 3rd degree burns to my scalp and ears. I take 2 pills 3x per day. It has been a God send! The only side effect I have noticed is pain intensifies for about 15 minutes after I take it, then it subsides. Thank goodness I have a great Doctor who is not afraid to prescribe opioids. She realizes I need it, not want it. I now feel like doing more than laying on the couch curled up in agony.",9
Magnesium sulfate / potassium sulfate / sodium sulfate,Bowel Preparation,"Easier to consume amount required compared to previous method which required drinking huge amount night before (difficulty doing that one). Agree taste is not greatest. I dabbed finger in hot Chinese mustard and coated tongue afterward to get rid of the after-taste. Do whatever works for you. Did not experience chills, excessive bloating, pain, just a full feeling. Started to work in about 1 hour. Started 6 PM, was able to go to bed about 10 PM without need to go again. Repeated process about 5:30 AM, left house 8:30 for clinic, no problems with diarrhea. All in all, it wasn't that difficult or unpleasant. Mental attitude is a big factor.",9
Metaxalone,ibromyalgia,I have fibromyalgia or they say and have been on everything known to mankind even experimental drugs. I am now down to just pain medicines which I am weening myself off of. I tried Skelaxin and has it helped relax the tension I have had for years now. I have been doing stretching exercises and this medicine helps loosen me up so it's not so painful. It's probably just another bandaid but it has helped me so far...very expensive though.,7
Plaquenil,Rheumatoid Arthritis,"Helped with RA It has affected my vision immensely. So much, that I stopped taking it.",3
Next Choice,Emergency Contraception,"I took next choice one dose half an hour after. Did not experience all the side effects, just a terrible headache on the 5th day. I got my period yesterday (a week after took the pill). This pill does work so don't stress out too much. Just stay calm and let the pill do its job!",9
Intuniv,ADHD,"My 8 year old son was prescribed 2mg in the morning. He has been on it for two weeks. At first it helped him concentrate in school but he was still aggressive with his sister and others. Week two, he now cries almost everyday at school and at home. He constantly talks about death. He keeps asking me if I will wait for him in heaven when I die. It is awful to see my innocent little boy go through this. I took him off of it right away. Vyvanse worked for him a lot better at the lowest dosage.",1
Symbyax,Bipolar Disorde,"I've been on Symbyax for over 5 years, off and on, but consistently for the last 3. I have found that when I'm on it, I feel like me again. I am not moody, snappy, or self-destructive. When I was manic I engaged in promiscuous activity, large spending and shopping sprees, when I didn't have the money I would turn to stealing. When I was down I could be bed ridden for days, sometimes weeks. I would not go into work, was suicidal and ultimately hospitalized on different occasions at my worst. I was started on many different medications and combinations, but also being an epileptic (also caused some depression) my Dr's and I had to be careful with medicines Symbyax, Depakote, and Trazodone worked! I feel great.",9
Lisinopril,High Blood Pressure,Started taking this 6 months ago for hbp. I have no energy and could literally lay around all day. I'm in bed by 8pm wake up still exhausted. After reading the reviews here I have decided to stop taking it...period. I feel much better with hbp!,1
Methotrexate,Rheumatoid Arthritis,"Methotrexate has been a miracle for me. For the past 3 years experiencing extreme tiredness, no energy to do anything, thankful to get through a day's work. Tried every combination of vitamins the world has ever made without any results. Then over last one year severe inflammation of hands, could barely make a fist, difficulty using hands. Under rheumatologist advice used 2 other medications till placed on methotrexate with a dose of 5 pills per week. Have been on this dose past 8 months with great results. Have been walking, biking around from 2 to 4 miles frequently, mowing grass, doing property maintenance 6 to 8 hrs per day and still having energy to continue working on other things! Crossing fingers, THANKS METHOTREXATE!",10
Jentadueto,"Diabetes, Type 2",Insurance would no longer cover Oseni which was working great. Suggested this one. Stomach is a mess. Was up all night wanting to throw up and with severe chills. Did keep my blood sugar between 90-120 but I just want to die.,3
Toradol,Pain,"Was prescribed Toradol today at 3 pm, by 4 I could actually see again and was able to even go to work at 7pm. This after having the worst migraine I've ever had. I don't know how it worked, but it just DID. I hate needles so my Doctor just prescribed the pill form.",10
Vilazodone,Major Depressive Disorde,"It works in my depression, I feel more positive and happy but I had gastrointestinal problems ,and slurred speech people think I am drinking,also sluggish.I received a package from my doctor.Don't know if this effects will go away but if not ,I won't continue.",3
Glatiramer,Multiple Sclerosis,"I've had MS for almost 8 years and been on copaxone the whole time. I'm still on copaxone and will continue to use copaxone as long as I can . Going tomorrow to get 3 MRI's and, an xray . The MRI's are with and, without contrast . Cause without contrast they wouldn't see new lesions. MS gets my right side numb face, nose, tongue, throat right side only . Two weeks ago I experienced my first MS hug . Horrible feeling. I get spasms all over and it affects my bladder as well . I hope it goes well for me tomorrow. The MRI's don't bother me - its waiting on the results .",10
Wellbutrin,Depression,"I started taking 150mg Wellbutrin SR about a month ago to treat severe atypical depression, and it has been nothing short of miraculous for me. The first two weeks were rough. I had some heart palpitations brought on by a combination of the meds and caffeine, so I had to stop the caffeine. I also had to work through a bit of insomnia early on, but that side effect has subsided, and now I actually sleep and wake well rested. For the first time in a decade, I'm hopeful. My negative thoughts are still there, but unlike before, I have control over them. I can manage them in a non-destructive way. Words cannot express what it feels like to know that you can, for the first time in so long you can't remember, function as a normal person.",10
Tioconazole,Vaginal Yeast Infection,"I'm 18 and just experienced my first YI due to an increase of hormones from Plan B. I put the ovule in at around 1 and within an hour the symptoms went down slightly. It still itches like crazy but no longer burns so whether that's an indicator it's working or not I'm not sure. If anything it's the cream that makes it feel worse, it no longer burns when I pee but I wiped with the wipes and reapplied cream and it started burning again. I'd recommend throwing away the cream altogether, I've found using coconut oil externally makes it go down for a while. Here's hoping the symptoms stop by tomorrow. I'd recommend this versus home remedies at the very least.",7
Sprintec,Birth Control,"I've taken these for nearly a year and a half, and have 2-3 periods per month, light but 2-3 days long each. Horrible mood swings, and nausea.",1
Vimovo,Osteoarthritis,Excellent for pain relief of my hands and knees with no more stomach upset. No side effects noted. Great medicine.,9
Trulicity,"Diabetes, Type 2",At first I did have the stomach problems but after 2 weeks I'm good I been on the injection for 3/4 months and I have lost 45lbs I feel great no more high blood pressure and my A1C was 6.7 now it's 5.3 I love it,10
Natazia,Birth Control,"I have been using this pill since September. It is my first time using birth control pills. I am 30 with a beautiful son and my husband does not want any more kids. I spot most of the month. In October, I spotted the first week and a half. Then I began spotting again the last week. This is too much. I did not like being on my period before the pill and it was regular then. I have also had a break out in my face. I did not have acne this bad when I was a teenager. I am not sure if this pill is for me. If things do not change this month I will have to find another pill to try.",5
Vyvanse,ADHD,"I started taking this medicine about 2 years ago now. I am on the 40 mg dose and at first everything was great, my grades improved, I could focus in public. But now, my loss of appetite is crazy. I'm 13 and I only weigh 82 lbs. I become very short tempered with my friends and I get annoyed at the littlest things. It also brings my mood way down. When I'm on my medicine I feel depressed and anxious constantly. I still get my a's and b's in school but I don't think it's worth all the side affects.",4
Adderall,ADHD,"I was 23 when I was diagnosed with ADHD. Started Adderall, I take 30 mg of SR a day and the difference is phenomenal! I get up with ease because I know I can tackle all tasks with astounding motivation and actually enjoy doing tedious work. I am co-morbid with anxiety, rumination, and I was highly neurotic. I found myself aggressive, quick tempered, and easily abusing marijuana and alcohol. This all changed with Adderall, I am rational, reflect on situations in a positive light, and generally just a more helpful and kind person. Adderall completely saved my professional and personal life. Side note, it can cause erectile dysfunction but it will go away after your body is used to the cycle.",10
Iloperidone,Bipolar Disorde,"Fanapt was the third medication I tried to treat mood swings associated with Bipolar Disorder. It has worked wonders for me! It decreased my emotional reactivity so that I am able to perform well at work. I have less anxiety and my hypomanic episodes are not only fewer, but also less intense. I really wish that it was less expensive, though. My insurance will not cover it and even if it did, it is so expensive that it would consume more than half of my annual benefit allotment. I hope I can find a way to continue taking it. It has made such a difference for me.",10
Risperdal,Bipolar Disorde,I must have tried at least a dozen different bipolar meds. This is by far the best. Has the least side effects and I am much more clear-headed than others. Love it.,9
Carvedilol,High Blood Pressure,"I was on Coreg for a year while on it I had bad back pain & severe upper leg pain. It got to the point where I felt like I was being poisoned, as I kept getting worse. I could hardly walk or exist with the pain. I thought I was going to die as I got worse & worse. I went for acupuncture & that didn't help at all so I got to thinking-when did all this pain start . I figured it was when I went on coreg. I stopped the Corig & in one day I was so much better. I am now back to myself & am convinced the Corig was slowly killing me. Glad I used common sense as my doctor is SHOCKED that I said it's the Corig..",1
Exforge,High Blood Pressure,Been taking this for about a month and have a little bit of dizziness and ankle swelling.,8
