ticket_id,ticket_text,plan,priority,category,predicted,confidence
CB-4201,"Timestamps are coming through 7 hours off, so everything looks like it happened yesterday.",Team,normal,data_sync,bug_ui,0.942
CB-4202,I deleted one widget and the entire dashboard layout scrambled itself.,Team,normal,bug_ui,bug_ui,0.9054
CB-4203,"After the last release, currency fields are arriving as text instead of numbers.",Team,normal,data_sync,bug_ui,0.9243
CB-4204,"The upgrade button does nothing when I click it, so I can't add the seats we need.",Business,high,billing_plan,bug_ui,0.3643
CB-4205,Is there a list of keyboard shortcuts published somewhere?,Team,low,how_to,how_to,0.9417
CB-4206,It would be great to have conditional formatting on table cells.,Business,low,feature_request,feature_request,0.7365
CB-4207,Can we use a custom domain for externally shared links?,Business,low,how_to,feature_request,0.6055
CB-4208,The percentage column shows 0% for values that are obviously nonzero.,Free,normal,bug_ui,bug_ui,0.9176
CB-4209,Session keeps dropping on Safari specifically. Works fine on Chrome.,Free,normal,login_access,performance,0.7552
CB-4210,The freshness indicator says 2 minutes but the numbers are clearly from this morning.,Business,normal,data_sync,bug_ui,0.8184
CB-4211,Please let us white-label shared reports for our own clients.,Enterprise,low,feature_request,how_to,0.7242
CB-4212,How do I bulk import users from a CSV file?,Team,low,how_to,how_to,0.9836
CB-4213,Our API p95 latency went from 200ms to 3 seconds this week.,Business,normal,performance,performance,0.6492
CB-4214,The whole app is crawling for our EU team specifically. The US team is unaffected.,Business,normal,performance,performance,0.9712
CB-4215,The Google Sheets export stopped refreshing and just shows an old snapshot.,Team,normal,integrations,bug_ui,0.4134
CB-4216,"The row counts here don't match our warehouse. We're off by roughly 4,000 records.",Team,normal,data_sync,bug_ui,0.9936
CB-4217,"Sarah left the company last week but her account still has access. Please revoke immediately, this is a security concern.",Team,urgent,login_access,login_access,0.9791
CB-4218,Where do I find our data retention settings?,Business,low,how_to,how_to,0.9629
CB-4219,"help! whole team is locked out, we think someone changed the sso config by accident",Team,urgent,login_access,login_access,0.3186
CB-4220,Numbers show with commas in one view and periods in another - inconsistent locale handling.,Business,normal,bug_ui,bug_ui,0.9647
CB-4221,Jira tickets created from here aren't linking back - the link field comes through blank.,Free,normal,integrations,bug_ui,0.5304
CB-4222,Our webhook fires twice for every event and the downstream system is double-counting.,Enterprise,high,integrations,integrations,0.8491
CB-4223,Any chance of multiplayer cursors so two of us can co-edit a dashboard?,Business,low,feature_request,feature_request,0.9617
CB-4224,We want to pin one north-star metric to the top of every dashboard.,Business,low,feature_request,bug_ui,0.6262
CB-4225,Slack notifications stopped posting to our #alerts channel after we reinstalled the app.,Business,normal,integrations,integrations,0.9545
CB-4226,BigQuery pull silently skipped an entire table and there was no alert about it.,Enterprise,normal,data_sync,data_sync,0.5107
CB-4227,After you changed the sign-in page my password manager entry doesn't autofill anymore.,Business,normal,login_access,login_access,0.9743
CB-4228,What's the best practice for separating staging from production workspaces?,Business,low,how_to,how_to,0.9715
CB-4229,Do you have a status page? Things feel degraded but I can't confirm anywhere.,Team,high,performance,data_sync,0.2835
CB-4230,The filter chip says 'Last 30 days' but the data shown is clearly year-to-date.,Enterprise,normal,bug_ui,bug_ui,0.9808
CB-4231,"Receipts aren't reaching our AP mailbox, they're still going to someone who left the company.",Free,normal,billing_plan,billing_plan,0.4916
CB-4232,Our largest dataset pushes the browser tab to 4GB of memory and then it crashes.,Business,urgent,performance,performance,0.7425
CB-4233,The incremental refresh reset to a full load and blew through our API quota.,Team,normal,data_sync,data_sync,0.2629
CB-4234,The API reference documents a field that doesn't exist in the actual response payload.,Free,normal,integrations,integrations,0.8259
CB-4235,everything hangs when a colleague runs a big query - are we sharing compute?,Enterprise,normal,performance,performance,0.869
CB-4236,We need to annotate charts with events like product releases.,Enterprise,low,feature_request,feature_request,0.4728
CB-4237,Trying to understand how row-level security interacts with our customer data.,Business,low,how_to,bug_ui,0.4948
CB-4238,Our Postgres connector hasn't pulled new rows since Tuesday and the dashboards are stale.,Enterprise,high,data_sync,data_sync,0.6114
CB-4239,"The bar chart total doesn't match the table underneath it. Table says 1,204, chart says 1,199.",Business,normal,bug_ui,bug_ui,0.9913
CB-4240,Records we deleted in the source are still showing up here. Is there a hard-delete option?,Business,normal,data_sync,data_sync,0.4647
CB-4241,Requesting SAML group-to-role mapping so we stop managing permissions by hand.,Business,low,feature_request,feature_request,0.5071
CB-4242,New columns we added upstream aren't appearing in the schema. Do I need to re-map manually?,Enterprise,normal,data_sync,bug_ui,0.6907
CB-4243,"The OAuth consent screen shows the wrong app name to our users, so it looks like phishing.",Enterprise,normal,integrations,integrations,0.7432
CB-4244,Snowflake connection keeps dropping mid-sync. Our credentials haven't changed.,Team,normal,data_sync,data_sync,0.6064
CB-4245,Is there a Terraform provider? We manage all our infrastructure as code.,Business,normal,integrations,how_to,0.5372
CB-4246,"Charts render one at a time instead of together, so a full dashboard takes ages.",Enterprise,normal,performance,bug_ui,0.7587
CB-4247,Can two workspaces share one Slack install or do we need to connect each separately?,Team,normal,integrations,how_to,0.5965
CB-4248,We'd really like version history on dashboards so we can roll back a bad change.,Business,low,feature_request,bug_ui,0.5646
CB-4249,We were charged twice this month for the same seats. We need a refund on the duplicate.,Team,high,billing_plan,billing_plan,0.9926
CB-4250,We'd like to set a default timezone per workspace rather than per user.,Business,low,feature_request,feature_request,0.659
CB-4251,Can we increase the refresh frequency to every 15 minutes instead of hourly?,Business,normal,data_sync,performance,0.31
CB-4252,I removed four users last month but the invoice still shows the old headcount.,Team,normal,billing_plan,billing_plan,0.5528
CB-4253,The onboarding checklist still says incomplete even though we finished every step.,Team,normal,bug_ui,bug_ui,0.9601
CB-4254,clicking save does nothing and my changes are gone as soon as i refresh,Team,normal,bug_ui,data_sync,0.4985
CB-4255,"Please add native Excel export, not just CSV. Our finance team lives in Excel.",Enterprise,low,feature_request,how_to,0.9186
CB-4256,Uploading a logo larger than 1MB fails silently with no error message at all.,Business,high,bug_ui,performance,0.4553
CB-4257,We need to add 25 seats mid-cycle. Will that be prorated or charged in full?,Enterprise,normal,billing_plan,feature_request,0.361
CB-4258,"The Salesforce connection is only pulling Accounts, not Opportunities.",Business,normal,integrations,integrations,0.7699
CB-4259,Autosave lags so badly that I lose keystrokes while typing notes.,Team,normal,performance,performance,0.9618
CB-4260,new admin here - where should i start? is there an onboarding guide,Free,low,how_to,how_to,0.9351
CB-4261,Getting an 'account suspended' banner but our invoice is paid. Please advise.,Business,high,login_access,login_access,0.3873
